rep,radius_ft,radius_m
1,1,0.3048
2,0.5,0.1524
3,0.9,0.27432
4,0.4,0.12192
5,0.4,0.12192
6,0.35,0.10668
7,0.3,0.09144
8,0.15,0.04572
9,0.3,0.09144
10,0.25,0.0762
11,0.25,0.0762
12,0.7,0.21336
13,0.65,0.19812
14,0.25,0.0762
15,0.3,0.09144
16,0.25,0.0762
17,0.8,0.24384
18,0.2,0.06096
19,0.4,0.12192
20,NA,NA
